Flag,Duration,protocol,src_ip,src_port,dst_ip,dst_port,Predicted_Value,Real_Value
None,0,UDP,192.168.100.119,17500,255.255.255.255,17500,BENIGN,BENIGN
None,0,UDP,192.168.100.119,17500,255.255.255.255,17500,BENIGN,BENIGN
None,0,UDP,192.168.100.119,17500,255.255.255.255,17500,BENIGN,BENIGN
None,0,UDP,192.168.100.119,17500,255.255.255.255,17500,BENIGN,BENIGN
[<Flag 18 (SA)>],21265,TCP,192.168.100.174,65043,119.46.207.90,80,BENIGN,BENIGN
[<Flag 18 (SA)>],21265,TCP,192.168.100.174,65043,119.46.207.90,80,BENIGN,BENIGN
[<Flag 16 (A)>],21345,TCP,192.168.100.174,65043,119.46.207.90,80,BENIGN,BENIGN
[<Flag 24 (PA)>],21641,TCP,192.168.100.174,65043,119.46.207.90,80,BENIGN,BENIGN
[<Flag 16 (A)>],29017,TCP,192.168.100.174,65043,119.46.207.90,80,BENIGN,BENIGN
[<Flag 24 (PA)>],29697,TCP,192.168.100.174,65043,119.46.207.90,80,BENIGN,BENIGN
[<Flag 17 (FA)>],29870,TCP,192.168.100.174,65043,119.46.207.90,80,BENIGN,BENIGN
[<Flag 16 (A)>],0,TCP,119.46.207.90,80,192.168.100.174,65043,BENIGN,BENIGN
None,99457,UDP,192.168.100.119,17500,255.255.255.255,17500,BENIGN,BENIGN
None,109903,UDP,192.168.100.119,17500,255.255.255.255,17500,BENIGN,BENIGN
[<Flag 17 (FA)>],248047,TCP,119.46.207.90,80,192.168.100.174,65043,BENIGN,BENIGN
None,0,UDP,192.168.100.85,45500,239.255.255.250,1900,BENIGN,BENIGN
None,0,UDP,192.168.100.85,45500,239.255.255.250,1900,BENIGN,BENIGN
None,0,UDP,192.168.100.131,57093,239.255.255.250,1900,BENIGN,BENIGN
None,0,UDP,192.168.100.131,57093,239.255.255.250,1900,BENIGN,BENIGN
None,11,IPv6,::,0,ff02::16,0,BENIGN,BENIGN
None,21,ARP,0.0.0.0,0,192.168.101.13,0,BENIGN,BENIGN
None,72424,ARP,0.0.0.0,0,192.168.101.13,0,BENIGN,BENIGN
None,72439,ARP,0.0.0.0,0,192.168.101.13,0,BENIGN,BENIGN
None,209055,IPv6,::,0,ff02::16,0,BENIGN,BENIGN
None,209064,IPv6,::,0,ff02::16,0,BENIGN,BENIGN
None,135143,ARP,0.0.0.0,0,192.168.101.13,0,BENIGN,BENIGN
None,135155,ARP,0.0.0.0,0,192.168.101.13,0,BENIGN,BENIGN
None,9,ARP,192.168.101.13,0,192.168.101.13,0,BENIGN,BENIGN
None,34,IPv6,::,0,ff02::1:ff7b:71fc,0,BENIGN,BENIGN
None,100683,UDP,192.168.100.130,60549,239.255.255.250,1900,BENIGN,BENIGN
[<Flag 24 (PA)>],5032014,TCP,192.168.100.178,8009,192.168.100.174,64884,BENIGN,BENIGN
None,20,ARP,192.168.101.13,0,192.168.100.1,0,BENIGN,BENIGN
None,91903,ARP,192.168.101.13,0,192.168.100.1,0,BENIGN,BENIGN
None,29,IPv6,fe80::a73e:4eb4:2a7b:71fc,0,ff02::16,0,BENIGN,BENIGN
None,10,IPv6,fe80::a73e:4eb4:2a7b:71fc,0,ff02::2,0,BENIGN,BENIGN
None,101760,UDP,192.168.100.197,55720,239.255.255.250,1900,BENIGN,BENIGN
